"","classroom","ac2","pb2","female","black","frl","sped","age","ac1","db1","cp1","pb1","er1","r.ac2","r.pb2"
"28",9,4.2,-0.752647596,0,1,1,0,-1.788471449,-0.419354839,0.012916751,-0.437788018,-0.68204504,-0.088618381,0.558887151299108,-0.163193506291488
"29",79,5,0.647352404,0,1,1,0,1.494211645,0.780645161,-0.209305471,-1.294930876,0.31795496,-0.288618381,0.945471098712612,0.112542693238751
"30",21,4.8,1.247352404,0,1,1,0,0.615361543,1.780645161,-0.764861027,-2.00921659,1.51795496,-0.288618381,-0.17860766580659,0.0294671126010576
"31",76,4.2,0.847352404,1,1,0,0,0.371692822,0.180645161,-0.320416582,0.133640553,0.11795496,-1.288618381,0.544881512696205,0.366482548400817
"32",88,5,1.247352404,1,1,1,0,0.15540261,-0.219354839,-0.09819436,-0.723502304,0.11795496,0.111381619,0.821020843247026,0.926390488090799
"33",89,3.6,0.647352404,1,1,1,0,0.336100762,0.380645161,0.012916751,-1.00921659,0.71795496,-0.888618381,-0.0233776202464008,0.108877152999245
"34",33,3.2,-0.752647596,0,1,0,0,2.145820133,-1.019354839,0.012916751,0.133640553,-1.88204504,-0.488618381,0.88474069055078,0.758607755406835
"35",81,2.4,0.447352404,0,1,0,0,-1.082105945,-0.619354839,0.012916751,-0.152073733,1.31795496,-1.088618381,-0.297609580863468,0.116111588548341
"36",105,4,0.447352404,0,0,1,0,1.428503226,-1.219354839,0.346250085,1.847926267,-0.88204504,-0.288618381,0.976107053826193,0.792948341955094
"37",56,3.8,-0.752647596,1,1,1,0,0.878195218,-0.219354839,0.235138973,0.705069124,-0.88204504,0.311381619,0.442572356436399,-0.187366465952428
"38",27,4.2,0.847352404,1,1,1,0,-0.953426958,-0.019354839,-0.431527693,-1.580645161,0.51795496,0.111381619,0.721087336014443,0.680887012081601
"39",34,5,1.247352404,1,0,1,0,-0.509895131,1.380645161,-0.764861027,-2.152073733,1.51795496,-1.288618381,0.360036637580753,-0.0733364796534857
"40",15,3.6,-2.152647596,1,0,0,0,-1.391483084,-0.619354839,0.679583418,1.562211982,-0.48204504,0.511381619,0.0807196999393956,-1.50285155619602
"41",54,2.2,0.847352404,0,1,1,0,0.582507333,-1.619354839,-0.209305471,0.133640553,-1.48204504,-0.488618381,-0.428218689314437,0.892479808350703
"42",21,4.6,1.247352404,0,1,1,0,0.552390974,1.780645161,-0.764861027,-2.152073733,1.51795496,-0.288618381,-0.381541579126262,0.0301941205606688
"43",47,1.2,-0.552647596,1,1,1,0,-1.424337294,-1.219354839,-0.764861027,0.562211982,-0.88204504,-0.888618381,-1.46100394277285,-0.596538938026601
"44",71,3,-1.352647596,0,1,0,0,-1.706335925,-1.619354839,1.568472307,0.562211982,-1.08204504,1.511381619,0.692528153952762,-0.432670547990159
"45",28,4,0.247352404,0,1,1,0,-0.071839005,1.780645161,-0.09819436,-1.866359447,1.51795496,-1.288618381,-0.685679005456799,-0.604710044186423
"46",51,4.8,0.647352404,1,0,0,0,-0.463351668,1.380645161,-0.764861027,1.562211982,-0.68204504,-0.288618381,-0.178412367499825,-0.0915547163020313
"47",14,5,1.247352404,1,1,0,0,-0.285391366,1.180645161,-0.542638804,-1.580645161,-0.08204504,1.111381619,0.385418171408792,0.723394466179063
"48",96,2.6,-1.552647596,1,0,0,0,-1.188882126,-2.019354839,1.124027862,1.276497696,-1.48204504,0.711381619,0.230966520443236,-0.154572004607616
"49",104,5,-0.552647596,1,0,0,0,0.358003569,0.980645161,0.124027862,-1.437788018,-0.48204504,-1.288618381,-0.109725446405779,-0.76160738765376
"50",83,1.4,-1.152647596,0,1,0,0,-1.813112106,-1.819354839,-0.653749915,0.847926267,-0.28204504,-0.688618381,-0.277822076752521,-0.50651776723984
"51",31,2.8,-2.352647596,0,1,1,0,1.02330131,-0.619354839,0.790694529,-0.00921659,-1.08204504,-0.888618381,0.241606851860754,-1.17253290987841
"52",86,2.8,-1.152647596,0,1,1,0,-0.178615186,-1.219354839,-0.09819436,-0.00921659,0.71795496,-1.288618381,-0.227728920682235,-1.45868262059901
"53",42,1.8,-0.352647596,0,0,1,1,2.269023418,-1.619354839,-0.320416582,0.276497696,-1.28204504,0.111381619,-0.749070664702313,0.202029679618709
"54",20,5,1.047352404,0,1,1,0,0.930214383,1.780645161,-0.764861027,-2.152073733,1.51795496,-1.288618381,0.0715623300993691,-0.0797336632814746
"55",21,4.6,1.247352404,1,1,1,0,0.453828346,1.780645161,-0.764861027,-2.00921659,1.31795496,-0.288618381,-0.470079540803768,0.0736577602174694
"56",90,2.4,-0.552647596,0,1,1,0,1.182096655,-1.219354839,1.679583418,0.705069124,-1.48204504,3.111381619,0.565049588983806,1.4291379811938
"57",44,4,1.247352404,0,0,0,0,0.697497066,0.780645161,-0.542638804,1.276497696,0.51795496,-0.088618381,-0.2160109993591,0.38197563619688
"58",78,3.6,0.847352404,1,1,0,0,0.897360174,-1.419354839,-0.09819436,0.133640553,-0.28204504,-0.088618381,0.562432044213348,0.965224719234032
"59",72,2.8,0.247352404,0,1,1,0,-0.044460497,0.780645161,-0.542638804,-1.00921659,0.31795496,-0.488618381,-1.5312460550074,-0.273112971647285
"60",10,4.8,0.647352404,0,1,1,0,-1.739190134,1.180645161,-0.320416582,-1.437788018,0.91795496,-0.888618381,0.0322046178673428,-0.134436806626965
"61",46,4.4,-0.352647596,1,1,0,0,-1.265541948,1.380645161,-0.653749915,1.419354839,-0.48204504,-0.688618381,0.101786482944889,-0.21728545139867
"62",74,3,-0.952647596,1,1,1,0,-0.47156522,0.180645161,-0.764861027,-2.152073733,1.51795496,-1.288618381,-0.502370282801851,-1.41825902762375
"63",90,1,-3.552647596,1,1,0,0,1.193048059,-1.019354839,1.90180564,0.99078341,-2.48204504,1.111381619,-1.03216328167597,-1.3337194060888
"64",17,1,-0.152647596,0,1,1,0,-1.180668574,-1.819354839,0.235138973,0.705069124,0.71795496,-0.888618381,-0.924662035160354,-0.308622042585415
"65",77,2.2,0.047352404,0,1,1,0,0.64274005,-1.419354839,1.346250085,0.276497696,-0.08204504,1.111381619,-0.279412277454601,0.0916606956468956
"66",33,4.2,0.447352404,1,0,0,0,1.61467708,1.580645161,-0.431527693,-0.580645161,0.11795496,-1.088618381,-0.678502600602106,0.123816705008336
"67",3,4.6,-0.152647596,1,1,1,0,-0.017081989,0.980645161,-0.653749915,-1.866359447,1.31795496,-1.288618381,0.415219724767688,-0.908528463522824
"68",6,5,0.647352404,1,1,0,0,-0.515370833,1.780645161,0.012916751,-1.866359447,0.51795496,0.511381619,-0.0528527475436562,0.47937928349229
"69",32,1,-3.552647596,1,1,1,1,-0.696068985,-1.619354839,1.568472307,1.419354839,-2.88204504,1.311381619,-0.826777883933278,-1.35944683121172
"70",29,5,1.247352404,0,1,1,0,-0.720709642,1.180645161,-0.542638804,-1.437788018,1.11795496,0.311381619,0.37893723183099,1.06377502951189
"71",79,3.2,1.247352404,1,1,1,0,1.694074753,0.180645161,-0.764861027,-1.866359447,1.31795496,-1.088618381,-0.640847865186048,-0.0558331338296272
"72",90,3,0.047352404,1,1,1,0,1.360056957,-0.219354839,-0.431527693,-0.866359447,0.71795496,-0.888618381,-0.0364825781552584,-0.0778692953262085
"73",82,2,-1.952647596,0,1,0,0,-1.391483084,-1.419354839,-0.431527693,0.847926267,-2.08204504,-0.288618381,0.335529991327076,0.126588116785882
"74",75,4,0.247352404,1,1,1,0,-0.775466657,0.780645161,-0.209305471,-1.152073733,0.51795496,-1.088618381,0.208497299468005,0.296382949260637
"75",30,3.4,0.047352404,1,1,1,0,-0.216945097,-0.819354839,-0.653749915,-1.294930876,0.31795496,0.311381619,0.275438647396024,-0.128842672523869
"76",95,4.8,0.647352404,0,0,0,1,-1.599559744,0.780645161,0.012916751,-1.723502304,0.71795496,-0.288618381,0.455134124913446,0.524121327500162
"77",52,0.8,-0.152647596,0,1,0,0,-0.449662414,-1.419354839,-0.320416582,0.133640553,-0.88204504,0.711381619,-1.55646812531875,-0.074781000701242
"78",101,5,-1.952647596,1,1,0,0,0.53596387,1.780645161,0.457361196,-2.152073733,-0.08204504,-1.288618381,0.286700299713737,-1.92223603590305
"79",75,4,0.247352404,1,1,0,0,-0.600244207,-0.219354839,0.012916751,-1.152073733,0.51795496,-1.088618381,0.953606765467731,0.369922467213537
