classroom,ac2,pb2,female,black,frl,sped,age,ac1,db1,cp1,pb1,er1,r.ac2,r.pb2
39,4.8,1.247352404,1,1,1,0,0.021247922,0.980645161,0.679583418,1.276497696,0.31795496,0.311381619,0.493925098,0.512401053
1,4,1.047352404,1,1,1,0,1.820015889,-0.219354839,-0.764861027,-0.866359447,0.31795496,-0.888618381,0.732899974,1.170003797
13,3.2,1.247352404,0,0,0,0,-0.304556322,0.180645161,0.012916751,-1.866359447,1.51795496,-1.288618381,-0.364208089,0.21289088
77,4,-0.352647596,1,1,0,0,1.078058326,1.380645161,0.346250085,-0.723502304,0.31795496,-0.088618381,-0.769802523,-1.051132386
74,0.6,-1.152647596,0,1,0,0,-0.701544686,-2.219354839,-0.542638804,0.99078341,1.11795496,-1.288618381,-0.944578322,-1.124127195
67,0.8,-3.152647596,1,1,1,0,0.117072699,-2.419354839,2.790694529,-0.723502304,-1.48204504,1.911381619,-0.47524098,-2.157934834
76,5,0.847352404,1,1,1,0,0.013034369,1.780645161,0.124027862,-1.437788018,-0.08204504,0.111381619,0.185671981,0.578570107
45,2.2,1.247352404,1,1,1,0,-1.424337294,-0.219354839,0.235138973,0.419354839,-0.08204504,0.511381619,-0.22209388,1.699300824
13,5,0.447352404,0,1,0,0,-0.720709642,1.580645161,-0.653749915,-1.437788018,0.51795496,-1.288618381,0.720263445,0.100533204
3,2.2,-1.752647596,0,1,1,0,0.998660653,-0.219354839,1.235138973,0.133640553,-0.88204504,1.111381619,-0.623904553,-0.602440132
45,5,1.047352404,1,1,1,0,-1.09853305,0.780645161,-0.209305471,2.276497696,0.71795496,0.511381619,1.75527755,0.892996705
48,2.8,-1.352647596,0,0,0,1,1.924054219,-0.619354839,0.790694529,0.133640553,-1.08204504,1.111381619,0.073870256,-0.521894505
27,4.2,-0.152647596,0,1,0,0,-1.213522783,0.780645161,-0.431527693,-1.437788018,0.51795496,0.111381619,0.207663942,-0.324078011
86,3.4,-0.352647596,0,1,1,0,-0.170401633,-0.819354839,-0.209305471,-0.580645161,-0.68204504,-0.888618381,0.237982082,0.255500189
78,5,1.047352404,1,1,1,1,0.420974137,-0.219354839,0.012916751,-0.723502304,-0.28204504,-0.688618381,1.200816967,1.037190052
21,4.8,1.247352404,1,1,1,0,0.218373178,-1.819354839,-0.764861027,-1.152073733,1.51795496,-0.288618381,2.411653409,0.244452059
60,5,1.047352404,0,1,1,0,-1.353153173,1.580645161,-0.653749915,2.276497696,0.31795496,-0.288618381,-0.531016092,-0.331115484
91,0.2,-0.352647596,0,1,1,1,1.622890632,-2.619354839,0.568472307,1.562211982,0.51795496,0.911381619,-0.789356917,-0.635129281
72,5,1.247352404,1,1,0,0,-0.277177814,0.780645161,-0.431527693,-0.866359447,-0.68204504,-1.088618381,0.642344077,1.177454673
31,3.2,0.647352404,1,1,1,0,1.050679818,0.180645161,0.124027862,-0.437788018,0.51795496,-0.488618381,-0.24658228,0.725612098
31,3.4,0.847352404,0,1,0,0,0.481206854,0.380645161,-0.764861027,-1.866359447,1.11795496,-1.288618381,-0.214012689,0.490906892
80,4.8,1.047352404,0,1,1,0,1.78989953,1.780645161,-0.209305471,-1.437788018,1.31795496,-0.088618381,0.391962376,0.315248303
65,2,-0.952647596,1,1,0,0,-0.835699375,-1.219354839,-0.320416582,0.419354839,-0.88204504,0.111381619,-0.499797205,-0.030288199
52,3.4,-0.352647596,0,0,0,0,-0.381216144,-0.219354839,0.124027862,0.276497696,-1.28204504,-0.088618381,-0.060447884,-0.419574073
78,2.8,-2.152647596,0,1,0,0,0.158140461,-1.019354839,0.568472307,1.133640553,-1.48204504,0.511381619,-0.29759132,-1.160058192
43,2.4,-0.152647596,0,1,0,0,0.303246553,-1.019354839,0.012916751,0.133640553,-1.28204504,-0.288618381,-0.50521323,0.549241622
80,2.2,0.847352404,0,1,1,0,1.910364965,-0.219354839,-0.542638804,-0.437788018,0.71795496,-0.688618381,-0.637451944,0.573409198
91,0.6,-1.752647596,0,1,1,0,1.447668182,-2.019354839,1.012916751,0.99078341,-2.08204504,2.911381619,-0.670035266,-0.196433686
72,4.8,-1.152647596,0,1,0,0,-0.266226411,0.780645161,1.124027862,-1.00921659,-1.28204504,2.711381619,0.699761386,-0.224587205
83,3,-0.552647596,0,1,0,0,-1.621462551,-0.219354839,-0.653749915,-0.294930876,-0.08204504,-0.888618381,0.091361665,-0.185600149
16,3.8,-1.952647596,1,1,1,0,1.543492959,0.380645161,1.790694529,0.276497696,-0.68204504,0.511381619,-0.029957298,-0.854896997
71,2.4,-1.352647596,1,1,0,0,-1.476356459,-2.219354839,2.124027862,1.705069124,-2.08204504,2.711381619,0.589332739,0.3316748
76,4.2,-0.952647596,1,1,1,0,0.128024102,0.580645161,0.235138973,0.133640553,-1.08204504,-0.088618381,0.412101563,-0.527357328
45,5,1.247352404,1,0,1,0,-1.498259265,1.780645161,-0.320416582,2.276497696,0.71795496,0.511381619,0.755936253,0.821577063
58,2,1.247352404,1,1,1,0,0.067791385,-2.419354839,-0.764861027,0.133640553,0.51795496,-0.288618381,0.330313736,0.347854941
93,4.2,-0.152647596,0,0,0,0,-1.136862961,-0.019354839,-0.542638804,-1.00921659,1.11795496,0.111381619,0.463100485,0.156656715
47,4.6,0.247352404,0,0,0,1,-1.114960155,-0.619354839,-0.320416582,0.562211982,-1.08204504,-0.088618381,1.561806894,0.321849509
84,0.6,-1.752647596,0,1,1,0,-0.822010121,-3.219354839,1.457361196,2.705069124,-1.88204504,1.311381619,0.217081331,0.191107173
64,5,1.047352404,1,1,0,0,-1.175192872,0.780645161,-0.209305471,1.99078341,0.51795496,0.711381619,0.270370607,-0.139259545
89,1,-1.352647596,0,1,0,0,0.648215752,-2.019354839,1.124027862,1.847926267,-1.08204504,2.511381619,-0.416556171,-0.023242628
24,5,0.647352404,1,1,1,0,1.423027525,-0.219354839,-0.209305471,-1.152073733,0.11795496,-1.288618381,1.850336081,0.576025514
96,4.4,1.247352404,1,0,0,0,-1.651578909,-1.019354839,-0.542638804,-1.152073733,0.71795496,-0.488618381,0.970837845,1.015840255
24,5,0.647352404,1,1,1,0,1.814540187,0.780645161,-0.09819436,-0.580645161,0.31795496,-0.288618381,1.112555618,0.503294173
72,3.4,0.447352404,0,1,1,0,-0.452400264,0.580645161,-0.09819436,-0.294930876,-0.48204504,-0.488618381,-0.698257651,0.439978243
37,2,0.247352404,1,0,1,0,-1.840490614,-1.619354839,0.124027862,-0.152073733,-2.08204504,-0.288618381,0.04781761,1.068214807
102,3.6,-0.352647596,1,1,1,0,0.114334848,-0.419354839,0.012916751,-0.294930876,0.51795496,0.111381619,0.175415278,-0.38873573
15,5,1.247352404,1,0,1,0,-1.208047082,1.380645161,-0.764861027,-2.152073733,1.51795496,-0.688618381,-0.281377875,0.340624844
70,4.6,1.247352404,0,1,0,0,-1.339463919,0.580645161,-0.653749915,-1.437788018,1.51795496,-1.288618381,0.51819279,0.233689194
32,4.8,0.847352404,1,1,0,0,-0.181353037,1.580645161,-0.653749915,-0.580645161,1.31795496,0.111381619,-0.111119912,-0.093897478
58,1.4,0.047352404,1,1,1,1,-0.485254474,-1.619354839,-0.320416582,0.705069124,-1.08204504,1.911381619,-0.494727752,0.434202818
69,4.8,-0.752647596,1,1,0,0,-1.487307862,0.780645161,0.012916751,-1.00921659,-0.48204504,-0.688618381,-0.066344644,-1.066380461
45,2.6,-0.152647596,0,0,0,0,-1.205309231,0.780645161,-0.431527693,1.99078341,0.31795496,0.711381619,-0.737318307,-0.138675617
54,4.6,1.047352404,1,1,1,0,0.993184951,-0.219354839,-0.764861027,2.133640553,0.11795496,-0.288618381,0.654959431,-0.107853332
76,1.2,-0.352647596,1,1,1,0,0.525012467,-2.219354839,-0.764861027,1.276497696,-0.68204504,-0.288618381,-0.512260122,0.023644891
96,1.4,-0.952647596,1,1,0,0,-1.104008752,-1.419354839,-0.431527693,-0.152073733,0.31795496,0.911381619,-1.394965267,-0.521294732
10,5,0.247352404,0,0,0,0,-1.364104577,1.580645161,-0.09819436,-1.723502304,0.11795496,0.311381619,-0.18715578,-0.082281297
25,4,0.647352404,1,1,1,0,-1.82680136,0.180645161,-0.209305471,-1.437788018,0.51795496,-0.688618381,0.531041067,0.200558898
4,4.6,-1.752647596,1,1,1,0,-0.652263372,0.580645161,0.790694529,-0.580645161,-0.68204504,0.711381619,1.009942171,-0.990232198
58,2.6,0.847352404,0,1,0,0,-0.047198348,-1.819354839,0.235138973,0.419354839,0.31795496,1.111381619,0.625397416,0.284052549
100,4,1.247352404,0,0,1,0,-0.556438594,0.180645161,0.124027862,-0.437788018,1.51795496,0.311381619,0.357023613,-0.009479378
5,0.2,-2.552647596,0,1,1,0,1.086271878,-3.019354839,-0.431527693,1.847926267,-2.08204504,0.111381619,-0.051833142,-0.049916162
83,3,-0.352647596,1,1,0,0,-1.547540579,-0.419354839,-0.764861027,-0.294930876,-0.08204504,-0.888618381,0.135180498,-0.048691818
81,2.8,-0.152647596,1,1,0,0,-1.599559744,-0.019354839,-0.431527693,-0.866359447,1.11795496,-1.288618381,-0.460607128,-0.515940673
101,5,1.247352404,0,0,1,0,1.450406033,-0.219354839,-0.320416582,-1.00921659,1.11795496,-1.288618381,1.578235254,0.599419203
75,2,-1.152647596,0,1,1,0,-0.586554953,0.780645161,-0.653749915,-0.723502304,0.51795496,-0.288618381,-1.656834693,-0.912126322
2,2.8,-1.152647596,0,1,1,0,0.401809181,0.180645161,0.346250085,-0.437788018,-1.48204504,0.311381619,-0.743739725,-0.137034389
49,1.8,-1.152647596,1,0,0,0,1.461357436,-1.019354839,-0.542638804,0.276497696,-0.28204504,-0.088618381,-0.582911029,-0.726325253
105,5,-0.152647596,1,0,1,0,1.642055588,1.780645161,-0.653749915,-2.00921659,0.71795496,-1.288618381,-0.609686245,-1.260468597
91,5,1.247352404,1,1,1,0,1.691336902,1.580645161,-0.320416582,-2.00921659,1.51795496,-0.488618381,0.418217325,-0.313698176
71,3.4,-1.752647596,0,1,0,0,-1.851442017,-1.419354839,0.346250085,0.419354839,-1.08204504,0.911381619,0.923828765,-0.934410512
83,3,-0.352647596,1,1,0,0,-1.073892393,0.580645161,-0.653749915,-0.437788018,-0.08204504,-0.888618381,-0.601911889,-0.128262927
76,1.6,-1.752647596,0,1,1,0,0.388119927,-2.019354839,2.568472307,1.562211982,-2.48204504,3.711381619,0.134609197,0.387182668
77,5,1.247352404,0,1,1,0,1.02330131,0.380645161,-0.209305471,-1.152073733,1.51795496,-0.488618381,0.953465277,-0.08394002
34,5,0.647352404,0,1,0,0,-0.143023126,1.180645161,0.012916751,-0.580645161,1.31795496,-0.088618381,0.910003758,-0.122231822
